mod,type,dupes,itemId,threadIndex
Winter Orb has +2 Maximum Stages,enchant,1,314461ca06f667e53b98e25de2fd2b35ba66abb8437735a08b6737bd99871389,3167292
Adds 85 to 128 Cold Damage,implicit,1,314461ca06f667e53b98e25de2fd2b35ba66abb8437735a08b6737bd99871389,3167292
Your Hits treat Cold Resistance as 10% higher than actual value,implicit,1,314461ca06f667e53b98e25de2fd2b35ba66abb8437735a08b6737bd99871389,3167292
+20% to Global Critical Strike Multiplier,explicit,1,314461ca06f667e53b98e25de2fd2b35ba66abb8437735a08b6737bd99871389,3167292
+20 to maximum Energy Shield,explicit,1,314461ca06f667e53b98e25de2fd2b35ba66abb8437735a08b6737bd99871389,3167292
+176 to maximum Life,explicit,1,314461ca06f667e53b98e25de2fd2b35ba66abb8437735a08b6737bd99871389,3167292
+34% to Chaos Resistance,explicit,1,314461ca06f667e53b98e25de2fd2b35ba66abb8437735a08b6737bd99871389,3167292
+1 to Maximum Power Charges,explicit,1,314461ca06f667e53b98e25de2fd2b35ba66abb8437735a08b6737bd99871389,3167292
"10% chance that if you would gain Power Charges, you instead gain up to
your maximum number of Power Charges",explicit,1,314461ca06f667e53b98e25de2fd2b35ba66abb8437735a08b6737bd99871389,3167292
Nearby Enemies have -12% to Cold Resistance,explicit,1,314461ca06f667e53b98e25de2fd2b35ba66abb8437735a08b6737bd99871389,3167292
9% increased Flicker Strike Damage per Frenzy Charge,enchant,1,5eef1b1ddb17580a96e94d45873d419cf7f1247ec61a5a421442ec27bf6634bb,3167292
Adds 85 to 128 Cold Damage,implicit,1,5eef1b1ddb17580a96e94d45873d419cf7f1247ec61a5a421442ec27bf6634bb,3167292
Your Hits treat Cold Resistance as 10% higher than actual value,implicit,1,5eef1b1ddb17580a96e94d45873d419cf7f1247ec61a5a421442ec27bf6634bb,3167292
+144 to maximum Life,explicit,1,5eef1b1ddb17580a96e94d45873d419cf7f1247ec61a5a421442ec27bf6634bb,3167292
+35% to Chaos Resistance,explicit,1,5eef1b1ddb17580a96e94d45873d419cf7f1247ec61a5a421442ec27bf6634bb,3167292
15% of Physical Damage from Hits taken as Cold Damage,explicit,1,5eef1b1ddb17580a96e94d45873d419cf7f1247ec61a5a421442ec27bf6634bb,3167292
Nearby Enemies have -12% to Cold Resistance,explicit,1,5eef1b1ddb17580a96e94d45873d419cf7f1247ec61a5a421442ec27bf6634bb,3167292
Nearby Enemies take 9% increased Elemental Damage,explicit,1,5eef1b1ddb17580a96e94d45873d419cf7f1247ec61a5a421442ec27bf6634bb,3167292
18% increased Warcry Buff Effect,crafted,1,5eef1b1ddb17580a96e94d45873d419cf7f1247ec61a5a421442ec27bf6634bb,3167292
12% increased Explicit Defence Modifier magnitudes,enchant,1,e5e40bb8c937f6e40eed9c65106016eaa2cd0bf9099a7f83b7985ef29bbb4ae2,3167292
50% reduced Explicit Resistance Modifier magnitudes,enchant,1,e5e40bb8c937f6e40eed9c65106016eaa2cd0bf9099a7f83b7985ef29bbb4ae2,3167292
1% less Damage Taken per 190 Intelligence,implicit,1,e5e40bb8c937f6e40eed9c65106016eaa2cd0bf9099a7f83b7985ef29bbb4ae2,3167292
Gain a Frenzy Charge every 11 seconds,implicit,1,e5e40bb8c937f6e40eed9c65106016eaa2cd0bf9099a7f83b7985ef29bbb4ae2,3167292
+55 to Intelligence,explicit,1,e5e40bb8c937f6e40eed9c65106016eaa2cd0bf9099a7f83b7985ef29bbb4ae2,3167292
+112 to maximum Energy Shield,explicit,1,e5e40bb8c937f6e40eed9c65106016eaa2cd0bf9099a7f83b7985ef29bbb4ae2,3167292
123% increased Energy Shield,explicit,1,e5e40bb8c937f6e40eed9c65106016eaa2cd0bf9099a7f83b7985ef29bbb4ae2,3167292
112% increased Global Defences,fractured,1,e5e40bb8c937f6e40eed9c65106016eaa2cd0bf9099a7f83b7985ef29bbb4ae2,3167292
Fire Resistance cannot be Penetrated,fractured,1,e5e40bb8c937f6e40eed9c65106016eaa2cd0bf9099a7f83b7985ef29bbb4ae2,3167292
6% increased Attributes,crafted,1,e5e40bb8c937f6e40eed9c65106016eaa2cd0bf9099a7f83b7985ef29bbb4ae2,3167292
8% increased Explicit Defence Modifier magnitudes,enchant,1,b1ad0ca206b17787d2d21fe4b82f105fe3e5d4dab1925c2b0a99e1bea0d805e1,3167292
Item sells for much more to vendors,implicit,1,b1ad0ca206b17787d2d21fe4b82f105fe3e5d4dab1925c2b0a99e1bea0d805e1,3167292
Zealotry has 30% increased Aura Effect,implicit,1,b1ad0ca206b17787d2d21fe4b82f105fe3e5d4dab1925c2b0a99e1bea0d805e1,3167292
20% increased effect of Non-Curse Auras from your Skills,implicit,1,b1ad0ca206b17787d2d21fe4b82f105fe3e5d4dab1925c2b0a99e1bea0d805e1,3167292
+1 to Level of Socketed Strength Gems,explicit,1,b1ad0ca206b17787d2d21fe4b82f105fe3e5d4dab1925c2b0a99e1bea0d805e1,3167292
+1 to Level of Socketed Intelligence Gems,explicit,1,b1ad0ca206b17787d2d21fe4b82f105fe3e5d4dab1925c2b0a99e1bea0d805e1,3167292
118% increased Energy Shield,explicit,1,b1ad0ca206b17787d2d21fe4b82f105fe3e5d4dab1925c2b0a99e1bea0d805e1,3167292
+34% chance to Suppress Spell Damage,fractured,1,b1ad0ca206b17787d2d21fe4b82f105fe3e5d4dab1925c2b0a99e1bea0d805e1,3167292
+155 to maximum Energy Shield,fractured,1,b1ad0ca206b17787d2d21fe4b82f105fe3e5d4dab1925c2b0a99e1bea0d805e1,3167292
108% increased Global Defences,fractured,1,b1ad0ca206b17787d2d21fe4b82f105fe3e5d4dab1925c2b0a99e1bea0d805e1,3167292
8% increased Explicit Defence Modifier magnitudes,enchant,1,2781b0a301eaab3ec282cea2bca3ac5bcbc084c9a51249acc7c656c0b30b8cfd,3167292
Has 1 White Socket,enchant,1,2781b0a301eaab3ec282cea2bca3ac5bcbc084c9a51249acc7c656c0b30b8cfd,3167292
1% less Damage Taken per 190 Intelligence,implicit,1,2781b0a301eaab3ec282cea2bca3ac5bcbc084c9a51249acc7c656c0b30b8cfd,3167292
+2% to all maximum Resistances,implicit,1,2781b0a301eaab3ec282cea2bca3ac5bcbc084c9a51249acc7c656c0b30b8cfd,3167292
+55 to Intelligence,explicit,1,2781b0a301eaab3ec282cea2bca3ac5bcbc084c9a51249acc7c656c0b30b8cfd,3167292
